NomeDoMunicipio, SituacaoUrbana, SituacaoRural, DensidadeMoradorPorComodo[0.0-0.5], DensidadeMoradorPorComodo[0.5-1.0], DensidadeMoradorPorComodo[1.0-2.0], DensidadeMoradorPorComodo[2.0-+], DensidadeMoradorPorDormitorio[1], DensidadeMoradorPorDormitorio[1-2], DensidadeMoradorPorDormitorio[2-3], DensidadeMoradorPorDormitorio[3+], MoradiaAdequada, MoradiaSemiAdequada, MoradiaInadequada
CasaBranca,7456,905,4844,2974,493,50,3627,3635,756,343,6389,1957,15
CássiadosCoqueiros,574,263,479,335,19,3,298,430,103,6,478,324,35
Castilho,4359,1202,2842,2452,236,31,2184,2717,517,144,3588,1864,109
Catanduva,37034,251,21496,13938,1779,72,13871,19113,3289,1012,32065,5201,19
Catiguá,2081,152,1126,981,122,4,529,1365,249,89,1732,467,34
Cedral,2104,508,1574,938,100,0,888,1431,216,77,1853,759,0
CerqueiraCésar,5002,537,2763,2405,349,22,2071,2674,586,208,4217,1278,43
Cerquilho,11596,597,6378,5214,571,30,4355,6219,1280,340,9853,2326,14
CesárioLange,3179,1285,2102,2030,325,6,1457,2180,598,228,2340,2110,14
Charqueada,3991,422,1957,2049,390,17,1337,2397,470,209,3206,1194,13
Chavantes,3442,263,1977,1504,225,0,1410,1739,463,94,2881,805,18
Clementina,2063,97,1002,1021,131,5,440,1370,262,89,1710,444,6
Colina,4959,347,2812,2248,232,14,1846,2754,560,146,4194,1106,6
Colômbia,1299,513,938,782,85,8,454,1078,226,54,1157,612,43
Conchal,6767,380,3003,3191,852,100,2172,3482,1042,451,5220,1926,0
Conchas,4252,963,2765,2067,374,9,1994,2426,577,217,3402,1792,21
Cordeirópolis,5778,644,3065,2810,543,4,2190,2956,945,330,4631,1773,18
Coroados,1390,308,914,717,65,3,647,857,145,48,1232,432,34
CoronelMacedo,1263,362,833,698,90,4,544,840,190,51,1042,546,37
Corumbataí,677,537,632,520,61,0,433,601,164,17,600,589,25
